layer,pair,sim
b2,Tibia-Femur,0.9800209403038025
b2,Tibia-Background,0.5528241991996765
b2,Femur-Background,0.47834113240242004
b3,Tibia-Femur,0.9797907471656799
b3,Tibia-Background,0.7059455513954163
b3,Femur-Background,0.6515332460403442
b4,Tibia-Femur,0.964372992515564
b4,Tibia-Background,0.8323512673377991
b4,Femur-Background,0.7616170644760132
